[opt] evaluating low-fidelity baseline candidate
[sim] emission 15/96 (count= 15.6%, route=  7.0%) time=2026-02-09T18:02:20+00:00 elapsed=   2.33m eta=  13.50m | aircraft lat=+44.6958 lon= -92.5226 alt=16833.0m ( 55226.2ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=214.11K RH=  1.1% p=  90.84hPa c=293.33m/s w_proj=+15.46m/s c_eff=308.79m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  91.4 cutoff=no terminal_alt=[   -8.1,32706.4]m
[sim] emission 16/96 (count= 16.7%, route=  7.5%) time=2026-02-09T18:02:30+00:00 elapsed=   2.50m eta=  13.33m | aircraft lat=+44.6822 lon= -92.4728 alt=16846.4m ( 55270.5ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=214.05K RH=  1.1% p=  90.66hPa c=293.29m/s w_proj=+15.53m/s c_eff=308.82m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.6 cutoff=no terminal_alt=[  -19.5,32760.9]m
[sim] emission 17/96 (count= 17.7%, route=  8.0%) time=2026-02-09T18:02:40+00:00 elapsed=   2.67m eta=  13.17m | aircraft lat=+44.6685 lon= -92.4230 alt=16860.5m ( 55316.7ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=214.04K RH=  1.2% p=  90.46hPa c=293.28m/s w_proj=+15.55m/s c_eff=308.84m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.8 cutoff=no terminal_alt=[  -18.3,32806.6]m
[sim] emission 18/96 (count= 18.8%, route=  8.5%) time=2026-02-09T18:02:50+00:00 elapsed=   2.83m eta=  13.00m | aircraft lat=+44.6550 lon= -92.3731 alt=16869.5m ( 55346.2ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=213.96K RH=  1.2% p=  90.34hPa c=293.23m/s w_proj=+15.63m/s c_eff=308.86m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.4 cutoff=no terminal_alt=[  -44.8,32765.2]m
[sim] emission 19/96 (count= 19.8%, route=  9.0%) time=2026-02-09T18:03:00+00:00 elapsed=   3.00m eta=  12.83m | aircraft lat=+44.6415 lon= -92.3232 alt=16873.8m ( 55360.2ft) speed= 408.7m/s ( 794.4kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=213.96K RH=  1.2% p=  90.29hPa c=293.23m/s w_proj=+15.71m/s c_eff=308.94m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.1 cutoff=no terminal_alt=[  -27.4,32783.1]m
[sim] emission 20/96 (count= 20.8%, route=  9.4%) time=2026-02-09T18:03:10+00:00 elapsed=   3.17m eta=  12.67m | aircraft lat=+44.6280 lon= -92.2733 alt=16874.4m ( 55362.3ft) speed= 408.7m/s ( 794.5kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=213.96K RH=  1.2% p=  90.28hPa c=293.23m/s w_proj=+15.71m/s c_eff=308.94m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.4 cutoff=no terminal_alt=[  -13.1,32806.9]m
[sim] emission 21/96 (count= 21.9%, route=  9.9%) time=2026-02-09T18:03:20+00:00 elapsed=   3.33m eta=  12.50m | aircraft lat=+44.6146 lon= -92.2234 alt=16872.4m ( 55355.7ft) speed= 408.7m/s ( 794.5kt) mach=1.20 eff_mach=1.323 | mode=enroute | atmo T=213.92K RH=  1.2% p=  90.31hPa c=293.20m/s w_proj=+15.83m/s c_eff=309.03m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  91.9 cutoff=no terminal_alt=[  -35.3,32781.1]m
[sim] emission 22/96 (count= 22.9%, route= 10.4%) time=2026-02-09T18:03:30+00:00 elapsed=   3.50m eta=  12.33m | aircraft lat=+44.6011 lon= -92.1735 alt=16868.5m ( 55342.8ft) speed= 408.8m/s ( 794.6kt) mach=1.20 eff_mach=1.322 | mode=enroute | atmo T=213.90K RH=  1.2% p=  90.37hPa c=293.19m/s w_proj=+15.90m/s c_eff=309.09m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.2 cutoff=no terminal_alt=[  -36.2,32740.7]m
[sim] emission 23/96 (count= 24.0%, route= 10.9%) time=2026-02-09T18:03:40+00:00 elapsed=   3.67m eta=  12.17m | aircraft lat=+44.5877 lon= -92.1236 alt=16863.4m ( 55326.0ft) speed= 408.8m/s ( 794.6kt) mach=1.20 eff_mach=1.322 | mode=enroute | atmo T=213.87K RH=  1.2% p=  90.45hPa c=293.17m/s w_proj=+16.03m/s c_eff=309.20m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.1 cutoff=no terminal_alt=[  -42.8,32627.7]m
[sim] emission 24/96 (count= 25.0%, route= 11.4%) time=2026-02-09T18:03:50+00:00 elapsed=   3.83m eta=  12.00m | aircraft lat=+44.5743 lon= -92.0736 alt=16857.6m ( 55307.1ft) speed= 408.8m/s ( 794.7kt) mach=1.20 eff_mach=1.322 | mode=enroute | atmo T=213.85K RH=  1.2% p=  90.53hPa c=293.15m/s w_proj=+16.13m/s c_eff=309.28m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.0 cutoff=no terminal_alt=[  -42.8,32764.4]m
[sim] emission 25/96 (count= 26.0%, route= 11.9%) time=2026-02-09T18:04:00+00:00 elapsed=   4.00m eta=  11.83m | aircraft lat=+44.5609 lon= -92.0237 alt=16851.7m ( 55287.9ft) speed= 408.8m/s ( 794.7kt) mach=1.20 eff_mach=1.321 | mode=enroute | atmo T=213.82K RH=  1.2% p=  90.60hPa c=293.14m/s w_proj=+16.26m/s c_eff=309.40m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.1 cutoff=no terminal_alt=[  -48.1,32806.9]m
[sim] emission 26/96 (count= 27.1%, route= 12.4%) time=2026-02-09T18:04:10+00:00 elapsed=   4.17m eta=  11.67m | aircraft lat=+44.5474 lon= -91.9737 alt=16846.2m ( 55269.6ft) speed= 408.9m/s ( 794.8kt) mach=1.20 eff_mach=1.321 | mode=enroute | atmo T=213.78K RH=  1.2% p=  90.68hPa c=293.11m/s w_proj=+16.38m/s c_eff=309.48m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.8 cutoff=no terminal_alt=[  -46.2,32717.3]m
[sim] emission 27/96 (count= 28.1%, route= 12.9%) time=2026-02-09T18:04:20+00:00 elapsed=   4.33m eta=  11.50m | aircraft lat=+44.5340 lon= -91.9238 alt=16841.3m ( 55253.5ft) speed= 408.9m/s ( 794.9kt) mach=1.20 eff_mach=1.321 | mode=enroute | atmo T=213.82K RH=  1.2% p=  90.75hPa c=293.13m/s w_proj=+16.44m/s c_eff=309.58m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.5 cutoff=no terminal_alt=[   -6.5,32827.9]m
[sim] emission 28/96 (count= 29.2%, route= 13.4%) time=2026-02-09T18:04:30+00:00 elapsed=   4.50m eta=  11.33m | aircraft lat=+44.5205 lon= -91.8738 alt=16837.4m ( 55240.7ft) speed= 408.9m/s ( 794.9kt) mach=1.20 eff_mach=1.321 | mode=enroute | atmo T=213.76K RH=  1.2% p=  90.80hPa c=293.09m/s w_proj=+16.55m/s c_eff=309.64m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.6 cutoff=no terminal_alt=[   -0.1,32636.1]m
[sim] emission 29/96 (count= 30.2%, route= 13.9%) time=2026-02-09T18:04:40+00:00 elapsed=   4.67m eta=  11.17m | aircraft lat=+44.5071 lon= -91.8239 alt=16834.7m ( 55232.0ft) speed= 409.0m/s ( 794.9kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.73K RH=  1.2% p=  90.84hPa c=293.08m/s w_proj=+16.63m/s c_eff=309.71m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.9 cutoff=no terminal_alt=[  -27.4,32621.9]m
[sim] emission 30/96 (count= 31.2%, route= 14.4%) time=2026-02-09T18:04:50+00:00 elapsed=   4.83m eta=  11.00m | aircraft lat=+44.4936 lon= -91.7739 alt=16833.5m ( 55228.1ft) speed= 409.0m/s ( 795.0kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.74K RH=  1.2% p=  90.86hPa c=293.08m/s w_proj=+16.70m/s c_eff=309.78m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.4 cutoff=no terminal_alt=[  -43.3,32842.8]m
[sim] emission 31/96 (count= 32.3%, route= 14.9%) time=2026-02-09T18:05:00+00:00 elapsed=   5.00m eta=  10.83m | aircraft lat=+44.4801 lon= -91.7240 alt=16834.0m ( 55229.7ft) speed= 409.0m/s ( 795.0kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.71K RH=  1.2% p=  90.85hPa c=293.06m/s w_proj=+16.74m/s c_eff=309.81m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  91.9 cutoff=no terminal_alt=[   -3.3,32562.4]m
[sim] emission 32/96 (count= 33.3%, route= 15.4%) time=2026-02-09T18:05:10+00:00 elapsed=   5.17m eta=  10.67m | aircraft lat=+44.4665 lon= -91.6741 alt=16836.4m ( 55237.4ft) speed= 409.0m/s ( 795.0kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.69K RH=  1.2% p=  90.81hPa c=293.04m/s w_proj=+16.75m/s c_eff=309.79m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.4 cutoff=no terminal_alt=[  -22.0,32586.7]m
[sim] emission 33/96 (count= 34.4%, route= 15.9%) time=2026-02-09T18:05:20+00:00 elapsed=   5.33m eta=  10.50m | aircraft lat=+44.4530 lon= -91.6242 alt=16840.7m ( 55251.6ft) speed= 409.0m/s ( 795.0kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.60K RH=  1.2% p=  90.75hPa c=292.98m/s w_proj=+16.80m/s c_eff=309.79m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.2 cutoff=no terminal_alt=[  -39.4,32844.3]m
[sim] emission 34/96 (count= 35.4%, route= 16.4%) time=2026-02-09T18:05:30+00:00 elapsed=   5.50m eta=  10.33m | aircraft lat=+44.4394 lon= -91.5743 alt=16847.1m ( 55272.7ft) speed= 409.0m/s ( 795.0kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.60K RH=  1.2% p=  90.66hPa c=292.98m/s w_proj=+16.78m/s c_eff=309.76m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.5 cutoff=no terminal_alt=[  -46.7,32598.7]m
[sim] emission 35/96 (count= 36.5%, route= 16.9%) time=2026-02-09T18:05:40+00:00 elapsed=   5.67m eta=  10.17m | aircraft lat=+44.4258 lon= -91.5245 alt=16855.8m ( 55301.1ft) speed= 409.0m/s ( 795.0kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.51K RH=  1.2% p=  90.53hPa c=292.92m/s w_proj=+16.87m/s c_eff=309.79m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.1 cutoff=no terminal_alt=[  -43.5,32738.9]m
[sim] emission 36/96 (count= 37.5%, route= 17.4%) time=2026-02-09T18:05:50+00:00 elapsed=   5.83m eta=  10.00m | aircraft lat=+44.4122 lon= -91.4747 alt=16866.7m ( 55337.1ft) speed= 409.0m/s ( 795.0kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.51K RH=  1.2% p=  90.37hPa c=292.92m/s w_proj=+16.88m/s c_eff=309.80m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  91.9 cutoff=no terminal_alt=[  -49.1,32753.6]m
[sim] emission 37/96 (count= 38.5%, route= 17.9%) time=2026-02-09T18:06:00+00:00 elapsed=   6.00m eta=   9.83m | aircraft lat=+44.3986 lon= -91.4248 alt=16877.6m ( 55372.6ft) speed= 409.0m/s ( 795.0kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.48K RH=  1.2% p=  90.21hPa c=292.90m/s w_proj=+16.87m/s c_eff=309.77m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.2 cutoff=no terminal_alt=[   -2.5,32803.3]m
[sim] emission 38/96 (count= 39.6%, route= 18.4%) time=2026-02-09T18:06:10+00:00 elapsed=   6.17m eta=   9.67m | aircraft lat=+44.3850 lon= -91.3750 alt=16883.3m ( 55391.3ft) speed= 409.0m/s ( 795.0kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.45K RH=  1.2% p=  90.13hPa c=292.88m/s w_proj=+16.97m/s c_eff=309.85m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.8 cutoff=no terminal_alt=[  -22.4,32813.5]m
[sim] emission 39/96 (count= 40.6%, route= 18.9%) time=2026-02-09T18:06:20+00:00 elapsed=   6.33m eta=   9.50m | aircraft lat=+44.3715 lon= -91.3251 alt=16884.8m ( 55396.3ft) speed= 409.0m/s ( 795.1kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.42K RH=  1.2% p=  90.10hPa c=292.86m/s w_proj=+16.99m/s c_eff=309.85m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.2 cutoff=no terminal_alt=[   -4.7,32818.7]m
[sim] emission 40/96 (count= 41.7%, route= 19.4%) time=2026-02-09T18:06:30+00:00 elapsed=   6.50m eta=   9.33m | aircraft lat=+44.3580 lon= -91.2752 alt=16883.2m ( 55391.0ft) speed= 409.0m/s ( 795.1kt) mach=1.20 eff_mach=1.320 | mode=enroute | atmo T=213.40K RH=  1.2% p=  90.11hPa c=292.85m/s w_proj=+17.11m/s c_eff=309.96m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.4 cutoff=no terminal_alt=[  -10.6,32674.0]m
[sim] emission 41/96 (count= 42.7%, route= 19.9%) time=2026-02-09T18:06:40+00:00 elapsed=   6.67m eta=   9.17m | aircraft lat=+44.3446 lon= -91.2253 alt=16879.3m ( 55378.1ft) speed= 409.1m/s ( 795.2kt) mach=1.20 eff_mach=1.319 | mode=enroute | atmo T=213.44K RH=  1.2% p=  90.16hPa c=292.87m/s w_proj=+17.17m/s c_eff=310.04m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.6 cutoff=no terminal_alt=[  -11.2,32728.6]m
[sim] emission 42/96 (count= 43.8%, route= 20.4%) time=2026-02-09T18:06:50+00:00 elapsed=   6.83m eta=   9.00m | aircraft lat=+44.3312 lon= -91.1754 alt=16873.8m ( 55360.2ft) speed= 409.1m/s ( 795.2kt) mach=1.20 eff_mach=1.319 | mode=enroute | atmo T=213.42K RH=  1.2% p=  90.23hPa c=292.86m/s w_proj=+17.25m/s c_eff=310.11m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.5 cutoff=no terminal_alt=[  -68.4,32775.9]m
[sim] emission 43/96 (count= 44.8%, route= 20.9%) time=2026-02-09T18:07:00+00:00 elapsed=   7.00m eta=   8.83m | aircraft lat=+44.3177 lon= -91.1255 alt=16867.4m ( 55339.4ft) speed= 409.1m/s ( 795.3kt) mach=1.20 eff_mach=1.319 | mode=enroute | atmo T=213.46K RH=  1.2% p=  90.32hPa c=292.89m/s w_proj=+17.31m/s c_eff=310.20m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.9 cutoff=no terminal_alt=[  -11.2,32796.6]m
[sim] emission 44/96 (count= 45.8%, route= 21.4%) time=2026-02-09T18:07:10+00:00 elapsed=   7.17m eta=   8.67m | aircraft lat=+44.3043 lon= -91.0756 alt=16860.7m ( 55317.3ft) speed= 409.1m/s ( 795.3kt) mach=1.20 eff_mach=1.319 | mode=enroute | atmo T=213.53K RH=  1.1% p=  90.41hPa c=292.93m/s w_proj=+17.30m/s c_eff=310.24m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.9 cutoff=no terminal_alt=[  -11.3,32673.3]m
[sim] emission 45/96 (count= 46.9%, route= 21.9%) time=2026-02-09T18:07:20+00:00 elapsed=   7.33m eta=   8.50m | aircraft lat=+44.2909 lon= -91.0256 alt=16854.1m ( 55295.5ft) speed= 409.2m/s ( 795.3kt) mach=1.20 eff_mach=1.319 | mode=enroute | atmo T=213.47K RH=  1.1% p=  90.49hPa c=292.89m/s w_proj=+17.36m/s c_eff=310.25m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.4 cutoff=no terminal_alt=[  -38.1,32682.5]m
[sim] emission 46/96 (count= 47.9%, route= 22.4%) time=2026-02-09T18:07:30+00:00 elapsed=   7.50m eta=   8.33m | aircraft lat=+44.2774 lon= -90.9757 alt=16848.0m ( 55275.4ft) speed= 409.2m/s ( 795.3kt) mach=1.20 eff_mach=1.319 | mode=enroute | atmo T=213.51K RH=  1.1% p=  90.57hPa c=292.92m/s w_proj=+17.34m/s c_eff=310.26m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.9 cutoff=no terminal_alt=[  -35.4,32636.4]m
